map_name,cnt_match,cnt_user,cnt_retire_user,percent_retire,SUM_match_time,AVG_match_time
"메이플 꿈의 도시 레헬른",145,697,137,19.6557,31055974,117636.26515151515
"아이스 갈라진 빙산",141,1154,470,40.7279,33787953,137349.4024390244
"메이플 헤네시스 오솔길",138,885,395,44.6328,27906280,109867.24409448818
"빌리지 익스트림 경기장",134,1217,475,39.0304,33186500,126666.03053435114
"동화 잠자는 숲속의 거인",131,1314,559,42.5419,36779819,119414.99675324676
"님프 바다 신전의 비밀",125,1549,435,28.0826,50710036,164642.97402597402
"포레스트 오싹한 공중다리",124,1731,1195,69.0352,48225441,151652.33018867925
"해적 짜릿한 고공비행",124,222,10,4.5045,15132071,100880.47333333333
"아이스 아찔한 헬기 점프",120,1324,825,62.3112,43386207,161287.0148698885
"도검 야외 수련관",118,850,219,25.7647,24779334,107269.84415584416
"공동묘지 마왕의 초대",116,769,196,25.4876,33616574,150073.99107142858
NULL,115,NULL,NULL,NULL,NULL,NULL
"광산 위험한 제련소",114,1012,388,38.3399,40300168,175218.12173913044
"동화 프레티온 목마",113,179,13,7.2626,11928711,86439.93478260869
"네모 강철바위 용광로",111,770,205,26.6234,28466872,130581.98165137615
"빌리지 지우펀",110,1012,246,24.3083,22844100,97208.93617021276
"노르테유 전투비행장",109,1020,338,33.1373,30701171,123795.04435483871
"카멜롯 펜드래건 캐슬",107,1212,400,33.0033,37442973,141294.23773584905
"팩토리 미완성 5구역",101,1033,343,33.2043,26797955,114521.17521367522
"신화 빛의 길",100,292,89,30.4795,16610582,121245.12408759125
"어비스 스카이라인",100,1381,564,40.8400,28012361,112953.06854838709
"메카닉 숨겨진 탈출로",100,310,87,28.0645,13955301,106529.01526717558
"[reverse] 빌리지 시계탑",98,1416,1145,80.8616,27736452,165097.92857142858
"황금문명 비밀장치의 위협",97,800,758,94.7500,28119407,149571.31382978722
"광산 3개의 지름길",95,959,792,82.5860,25103977,134245.86631016043
"해적 가파른 감시탑",93,950,483,50.8421,26051830,133599.12820512822
"아이스 부서진 빙산",93,727,310,42.6410,28879485,167903.98255813954
"쥐라기 아슬아슬 화산 점프",91,150,24,16.0000,9758142,97581.42
"동화 마녀의 성",90,447,105,23.4899,24179825,154011.62420382164
