track_id,cnt_match,cnt_user,cnt_retire_user,percent_retire,SUM_record,AVG_record
3a801d3a1be83ef6c290f942e9a9c90b8a5ebc8d978eaaa5e908950f2903e8cf,10325,215222,70792,32.8925,1809053528,51731.58501572777
973116ef458e79c7a89e3c4a052472e47e06d65fc84d9ca9881a08ef36b529fc,7067,12807,3766,29.4058,457084946,55451.28545432488
caf2382bb9c0cf432379d97e5658cd0f1f7ad0008bac0a0bceb6986209143b36,5343,8232,1794,21.7930,346111840,58982.931152010904
b57588a6c4fd89fbc2a2c9e9c1a95a746c35ab3ee08e3935db1a427121853e9a,4183,25468,8688,34.1134,496217651,68794.90517121863
7394f4ea05d4115bc1308101998132e50e366c4456c6368a1800a494c6f8c0c1,2714,30486,10096,33.1168,780886822,116969.266327142
1aac63e559f6f5890c9e90e2f8ffb2691e45aafbc5d148523405be3292b9785c,2140,24805,11344,45.7327,653733950,128865.35580524345
bc4cc07b793a1734626a114d9e9527255d2a0dc56cfe0f00778af6b2481b5214,1543,7449,3560,47.7916,219874298,104354.19933554817
0e324e952312814d287d63fa6f6bdee65fca748fbae2acdfad95e6f4dbded102,1507,20226,7559,37.3727,379016080,98933.98068389455
81f8d8e53e86cc06c0bdb3e5c1f4ef7aa31650c3a9a011631471edc377254fd7,1457,19645,5778,29.4121,419392821,109673.85486401674
73103a17062d7007e64739fefc2aee4ba0d98baa53c1f9b7bd5320202b0eff75,1452,19738,8864,44.9083,316402232,92515.27251461988
936626b1d09165291db82c65c8533f6a023e1f72669741706b70835bcffb699e,1311,19796,6257,31.6074,445464231,120722.01382113821
a2bc792a460163af9b1d5726d8a125aa1ba1aa53b32a39be1bf0be2b7368154e,1104,16638,9466,56.8939,319743535,120566.94381598794
929803c3549892072d76bea9fbe5811424146ac8a5ba3ffd91741c50ff06a9a8,1085,15975,6617,41.4210,287109095,101165.99541930937
c81f0b80597f0d4681dd925c08f9250512a7dd8dd9257244049bb879f9f767a5,1079,15722,11523,73.2922,337434196,136668.36614013772
78b3e43cada66683a9ffa6e9a932a68ca76c36893272338aa89f6cb5f27a0b23,1048,10206,3545,34.7345,259852845,104737.14026602177
