trackId,matchId,accountNo,characterName,character,kart,license,pet,flyingPet,partsEngine,partsHandle,partsWheel,partsKit,rankinggrade2,matchRank,matchRetired,matchWin,matchTime,teamId,date
0277723f47a20a3089c02beed0c6c41b0e904bc17766efbba565b8c64e608179,02390013024dd456,1812379905,개밥그륵다오,c73a05340d4deae7e6acdb07ef863d66f5f9a22e95eb46d42fee683add7dd1a8,5dae1a3dd645b7e8ee1e61b51c7f4111d9861b08ed0cdc68c2b0cdcbd8ac7d94,,,bc0cb26aec42bbf33f3bba47e9eb930d890df475161666aad43151284c56217a,,,,,4,4,0,0.0,77306.0,2,2022-10-08
0277723f47a20a3089c02beed0c6c41b0e904bc17766efbba565b8c64e608179,02390013024dd456,1728196123,뿡선호,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,9c6d8c9d4c25e9a9e96f8c305cde01fb257d4df332b9186c063d12de3e1dd3bb,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,4,6,0,0.0,78559.0,2,2022-10-08
0277723f47a20a3089c02beed0c6c41b0e904bc17766efbba565b8c64e608179,02390013024dd456,1930109999,l누리호l,a9a9d5571e670cf69ed1e0a80677ac5df32f5663b7796dbb1695cd0f8bf4b3ed,d47aa62de79d88ecee263e07456555d99ff8957f1760d0f248667913acbc2b67,,7149241e516f0ffb98ee2a1368baf88fa57b7818723abe32d47e697c0cbf859b,5dfce235da352c433ddf129d0d626af2c23010744efaeb4129b32e81ae1f8460,1.0,1.0,1.0,1.0,3,2,0,0.0,74998.0,2,2022-10-08
0277723f47a20a3089c02beed0c6c41b0e904bc17766efbba565b8c64e608179,02390013024dd456,1275730164,이상한백오동,42c729e64e31aea803e4881432f7b95129ce97535c29e4f9a72919a9f267b418,780559320bd6ecfdca7cdf7c91795de307d49116370a88b346c04bacc2614b7a,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,3,7,0,0.0,80232.0,2,2022-10-08
0277723f47a20a3089c02beed0c6c41b0e904bc17766efbba565b8c64e608179,02390013024dd456,1762500433,보라색9999,6b82c37a4645e71aebde24081cbaa45fb2f2544e25c7b204db4dfb79c8484ae8,d47aa62de79d88ecee263e07456555d99ff8957f1760d0f248667913acbc2b67,,4dede12f9e77ce1e4e3dc1e1ee67596b4fa5c29a994470da6526e7dcd2e313f9,7f9ba8cab61b5bfeaeb76e90a6f59b459289143c430cab9c4ddd39613dbc3703,0.0,0.0,0.0,0.0,2,99,1,1.0,,1,2022-10-08
0277723f47a20a3089c02beed0c6c41b0e904bc17766efbba565b8c64e608179,02390013024dd456,1392514309,FPJourne,68739fffd5995d2cefb55e8b65ccc91c4b5edf5ffd775677d795d24d0531f002,c8d29082c25ca4e06c568d592ec77eb5b4b9403cef96eddf21a7cdb8500ccf84,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,4,1,0,1.0,71311.0,1,2022-10-08
0277723f47a20a3089c02beed0c6c41b0e904bc17766efbba565b8c64e608179,02390013024dd456,2114106380,LA갈비제놧다,8026b8c506bf8806c2527bb5155616b4cd08dc4527ec2bb3f5dd12eae14a7845,751a4dd7b0e66ba60c3feb72191980bfed2eac7068930521c59171a514fff837,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,1,3,0,1.0,77078.0,1,2022-10-08
0277723f47a20a3089c02beed0c6c41b0e904bc17766efbba565b8c64e608179,02390013024dd456,721591892,삽난,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,de4bd8483b02056989e016b22a42085a8339832b92fbf0fbd54d4404d0fa0678,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,1.0,0.0,1.0,1.0,4,5,0,1.0,77593.0,1,2022-10-08
b57588a6c4fd89fbc2a2c9e9c1a95a746c35ab3ee08e3935db1a427121853e9a,03d70011024feb11,50969274,강현찌이,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,e091361f3b01bac4f0f02076327be683f7d6dd9c3fb03ef095cc940144ce5757,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,4,2,0,1.0,60205.0,2,2022-10-08
b57588a6c4fd89fbc2a2c9e9c1a95a746c35ab3ee08e3935db1a427121853e9a,03d70011024feb11,1778429840,전공간호학,3bcd5684051f094eefe443207254661620cdf484a69b334808442b47a8df98a5,e091361f3b01bac4f0f02076327be683f7d6dd9c3fb03ef095cc940144ce5757,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,3,4,0,1.0,61346.0,2,2022-10-08
