trackId,accountNo,characterName,character,kart,license,pet,flyingPet,partsEngine,partsHandle,partsWheel,partsKit,rankinggrade2,matchRank,matchRetired,matchWin,matchTime,matchId,date
a0ce29213d8914e499d4a0c1ae90de9d9c08ce67b10db311106c98edcf6a7218,704654436,∏∂±√ºˆ13,04d2d9f34fd3aa1a6599ec7dcfe108a396977574037b42b6b70bcafa114bf8b0,0c93daf650c052e864a7ff1eff965d05408ce160c923afb62386b67f266456e1,,,,,,,,0,3,0,0.0,162295.0,03cb0009025fce53,2022-10-08
a0ce29213d8914e499d4a0c1ae90de9d9c08ce67b10db311106c98edcf6a7218,2080800497,∏∂ƒ´∑’∞˙ƒø««,b6eb565e2940edbf43e4fcc42993dcdf12817f35714627ab4790853b6b2eaded,33df47cc2d6f5c7235b23b0c65ae45f4cc50e2b4e88c7a007765f8e6b7d3b311,,d13254f26ea4d21c3bd740665c982cabd650a3733c9b5d29e5d2a7a962913db6,44338a00eafb0d85851fa471384b28c5c6683ec5e61637ebe33eb2949ccb09cd,,,,,0,1,0,1.0,152694.0,03cb0009025fce53,2022-10-08
cb9790f64ce28a230f7a5d76945adb36012a2acfa7108b5285f1af8f00eb0e0d,1845992684,≤Ã∂Ûø¡,ca5448e0c85913850c601217b7fa7e71f207922dc2e6b665f262a963ad078b80,feb499ba73b9d5d8300833e136234dd526d8dfe373ce65620d819d335e641e14,,b5e59da7e51a056fca10406d710af9898b1f29e4182036c10848396908403f23,13e247466d75204e1b3d587abcc11def087f6ffcdfcf798cb2c4b8edcddd8f5b,6.0,1.0,23.0,3.0,2,1,0,1.0,169341.0,00910009025fbaeb,2022-10-08
cb9790f64ce28a230f7a5d76945adb36012a2acfa7108b5285f1af8f00eb0e0d,1996797706,ƒ√∑∫º«æ∆ƒ‹,d90e9439394d515109a92a8de70f76ea3b920df4309ead03167b0251dbe20664,817f5273189c9832305ca4fafeaefd0d92588cb999f6ac1747b7c3a76c2f4a47,,0ffbccc0a4308cf17d588929129f1a5cda511e874bf606fb129adb90b6f91ea2,,,,,,2,2,0,0.0,170994.0,00910009025fbaeb,2022-10-08
595e1c7551d7047a005dc946334dbf7ae8a32950ea45d5e161e56f99e8fcaf20,1745737004,¥ŸπÃ∫ﬂ∆‰,81c9f10de2f39d42f97b206c5804c32495e3f3e751d20529e1ac3c8aeb0a4939,4f5da9dd7b4166116180538f0846eef2cc680da05f960a9c801b16ce13eb3ea2,,,7f9ba8cab61b5bfeaeb76e90a6f59b459289143c430cab9c4ddd39613dbc3703,,,,,0,1,0,1.0,107968.0,01ba0006024c2c63,2022-10-08
3a801d3a1be83ef6c290f942e9a9c90b8a5ebc8d978eaaa5e908950f2903e8cf,1409517769,¿∞Ω√∫Œ∂ˆ¥§,a772caaa0c4a7457a353845d5e473a9a27dc0703da74443833c9439c811010bf,9002ba333110adec61a9defea77318127595851df0c7ef3824bb62e398c9dabc,,fdc7c55113d737db85501abb962b151496dbd1351df310edc04a02159bb60cbc,fbf9b4761e26803824583eb8831141750b16561c38c86983b838a8389d29a1fa,,,,,0,1,0,1.0,90380.0,02410009025fa158,2022-10-08
3a801d3a1be83ef6c290f942e9a9c90b8a5ebc8d978eaaa5e908950f2903e8cf,1091180518,PLAYHOTGIRL,42c729e64e31aea803e4881432f7b95129ce97535c29e4f9a72919a9f267b418,feb499ba73b9d5d8300833e136234dd526d8dfe373ce65620d819d335e641e14,,fab5343f3d67227ec4f123d74a17dc2dc34d512165102523bcc62599f1c5b003,7a7c82225a7e19701d446f6bd2a3028235c158a8b3c0d9bd0b61b7ec53bb8a1c,2.0,3.0,23.0,6.0,0,2,0,0.0,90998.0,02410009025fa158,2022-10-08
49832328c9467bb0eb62641a12b5f778d66d75c8ff8005b0ebefeb50a291aa44,134797761,¡§∂«∏‘,3bcd5684051f094eefe443207254661620cdf484a69b334808442b47a8df98a5,d1bb276d82e79398a211df10113f27b24678178b9176cf825d39429d45d4c36b,,492e06ae60ff9d70c311cab587117173484ff667a58832d76f72c46497b63139,134d30c43f10b461d98952da5555520a29bc1084ae41c496840468c3c077a064,,,,,0,2,0,0.0,139905.0,01de0009025f9a63,2022-10-08
49832328c9467bb0eb62641a12b5f778d66d75c8ff8005b0ebefeb50a291aa44,1526962645,1«–≥‚11π¯,95de437771bb1e094b4f3ef1c1a81574093a01e8d3be037c5a9fe0834dfbffa0,7e9af2569848299f8aae60f4cfdeb21df32daa1f26aef4e3001b21deb4d54dde,,2d4ab5ea02c1bdf313bacd4e68b75a5d5100c2275165c70ccb4e028244305fca,134d30c43f10b461d98952da5555520a29bc1084ae41c496840468c3c077a064,0.0,0.0,0.0,0.0,0,3,0,0.0,143118.0,01de0009025f9a63,2022-10-08
49832328c9467bb0eb62641a12b5f778d66d75c8ff8005b0ebefeb50a291aa44,789440440,øµ≈‰¿”,95de437771bb1e094b4f3ef1c1a81574093a01e8d3be037c5a9fe0834dfbffa0,faa33b24416a80877de22b61af178cf3786b48e75681c99b9774b4fd8100ef54,,fdc7c55113d737db85501abb962b151496dbd1351df310edc04a02159bb60cbc,44338a00eafb0d85851fa471384b28c5c6683ec5e61637ebe33eb2949ccb09cd,,,,,0,1,0,1.0,139468.0,01de0009025f9a63,2022-10-08
