map_name,track_id,cnt_match,percent_retire,AVG_record
어비스 배틀 콜로세움,519461f08096c7cc64734db42d0c5a7f60e9bd49ac204054ae88cd100426fc7a,408,31.0891,84218.43333
대저택 은밀한 지하실,cef91d19aece7571a2e667fe0240f92a010af6c5a6cd68e11a166d69124ee432,392,30.6953,156250.6628
도검 월하문,c7b28e6fd036b7402a783cfe17ded73c190cbe76deefcf12cacbcf4b4ac62bc2,359,39.2139,91892.26277
네모 네모난 마을,5f81a79868eeaaf98cdd18b73608f133796daa093a4e6b9ffd212e17d571c911,333,38.2643,6034420.952
해적 로비 절벽의 전투,cae537e121a653ee0a5153be514985339e74ba24139b5eb5a5249051b1538536,329,25.6763,138252.3761
놀이동산 360 타워,69823fd6dca63aa52224f9cacd2b8f4d4f09e571a2c9fde955207fa9303cc39c,303,24.6057,113951.8555
코리아 다이나믹 서울,3db76c496c3c6a4ef687390e502684e519c224f634fc84404b35f1733d98044a,293,21.19,106087.4744
황금문명 황금신전을 찾아서,a92875e4d4ce9d4b02b02689f1302afd981b9695cf79f8c6e020738f1a51e8f8,291,17.3951,92923.23507
동화 이상한 나라의 문,8636765b6c151cc264643338e533587ca763f74879334a1ea38c15202d7923e9,272,28.7346,160767.1067
비치 여객선,e3d4e8a51519a47ec547c04e7499ab554259cee4760ff0daefbadc0f5bea8746,267,19.7245,103050.5666
코리아 롯데월드 어드벤처,f99343b37c324637a55256e55855091493e4caf0ac11cf41180497f5a7ac453e,242,27.7376,116906.8015
차이나 골목길 대질주,0361c45cd275f107e28c724b75d5ad7ad9ba1ad70a35c0749cae2d2469f45a53,241,26.4033,153379.4286
도검 용의 길,2f184ce623a385b96bb394fa27c47af5eac270779e8135bd57678897888419af,231,5.8172,75392.41456
올림포스 제우스 시티,1b7ebf081f26efaeed6ed4810576af1bcc417444fd3398f41188582325b7c573,224,34.1594,129957.703
팩토리 두 개의 공장,b9296f71afc024cc6c2b266a95763e829adeff61017f89d2112af6fd31609af0,219,20.3043,144138.4442
광산 꼬불꼬불 다운힐,0ed0edb9c63c3ee5c01b80b81489280c64cf4f870f61f2a1c37af1fa37537878,216,37.4391,115770.5899
메카닉 잊혀진 도시의 중심부,42b6465646aeda1b986109bc846cc1573deb50b2d32c03ec552de7f91cb3ecb6,215,35.9418,131954.8394
아이스 신나는 하프파이프,140b554399a7fd162fbb6431604a5896eb0dc29515998dd5f7562042c87c29fc,208,25.2167,107763.2206
황금문명 오르에트 황금 좌표,d167c7195cee3b4e65cf30f507affb0a85d00a5babfc6a1aab482b137698e384,203,23.4948,118401.6862
문힐시티 폭우속의 질주,f6267026ed1b001f903044cded7817481037304ded026de27723a1088aa022ce,202,16.9391,106554.0102
올림포스 하늘의 신전,df68db9c0e005aa9d17ce9363f7829c27c926638ce141797950a97e1e30844e8,200,34.6977,160550.1074
공동묘지 해골성 대탐험,73f63bf9df6bc787e5673dfd57b08a70823d7ec85419edec005e6c9767c11d7c,198,15.8002,140907.3322
도검 구름의 협곡,2cfb3901726c6ff7995ab6827ff476bb90c37061f17e52b51956987788233982,197,25.4029,124597.2042
동화 다오와 콩나무,a9b35f6d3b3e773d5f5850c715bf7e92767cbe06c57ecdf5f5acdda9c3856cc9,191,6.6746,124312.44
