trackId,matchId,accountNo,characterName,character,kart,license,pet,flyingPet,partsEngine,partsHandle,partsWheel,partsKit,rankinggrade2,matchRank,matchRetired,matchWin,matchTime,teamId
7394f4ea05d4115bc1308101998132e50e366c4456c6368a1800a494c6f8c0c1,007000110abdb839,990051461,푸루모,571e7b57255a01614c748f65608f233c76eed6cd0010c4751f42f5564022c729,efb311a445fe3216c32499cd910b7249e64213e1aa6369e32e3cfe0eb9f95f9f,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,2,2,2,2,4,1,0,1,106552,1
37bd0201fe0a4e42a9d81aefd822293212b949d98a3e5b72089473b47310cf55,013000110abd8997,117908872,로에에요,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,f6799591217651d8f449a7877f70d21bcd344687575ef44f3ca3230aa40e8ba3,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,4,0,0,,,2
37bd0201fe0a4e42a9d81aefd822293212b949d98a3e5b72089473b47310cf55,013000110abd8997,352942518,Navicular,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,eb333073a3486846660dc9e82e6b0c55c508c31853e4f4151d36f4b7fe17fe33,,,16c0894cf7de4a419b2a4fb40568922546ac1436db1bda0e0879bdc35be8f796,,,,,1,1,0,1,104220,2
37bd0201fe0a4e42a9d81aefd822293212b949d98a3e5b72089473b47310cf55,013000110abd8997,688488672,TozokuMegumu,27eeb6160f01bde8a8deddac8ee0607b54b89b18b6c6ab3917d3b677f7b0a066,f45265f477666269a0255682bb1435e5a704c25fa96cd60656e030abd394a589,,bc04969d9c97b4923330ee9917abe82d0528352b116e531f70e4100a37ab5c2d,0ba76db19374fe129bea077d5f72b9db5e5763afef4432a4249d4288cf42ab43,,,,,4,0,0,,,2
37bd0201fe0a4e42a9d81aefd822293212b949d98a3e5b72089473b47310cf55,013000110abd8997,118134814,Lc3120,041195c896c373b7764e7786fab3006d897fa7326a90fce1d5299e8b78d9b672,0000cd7b578ef4817ccf9655e16291eacb7ca9b6a1f6ede97adddd58e3d10c9c,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,1,1,1,0,4,2,0,1,105925,2
37bd0201fe0a4e42a9d81aefd822293212b949d98a3e5b72089473b47310cf55,013000110abd8997,671666967,saaap,42c729e64e31aea803e4881432f7b95129ce97535c29e4f9a72919a9f267b418,dd0685efa8397ab65468ea28f229fa61a1ca2e8fe7e311bcb3650d14509771b4,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,3,3,3,3,1,99,1,0,,1
37bd0201fe0a4e42a9d81aefd822293212b949d98a3e5b72089473b47310cf55,013000110abd8997,1393038973,souusoou,956d93379abbae5238a67445eb832e50dd4d6dc63115af83752c5738b69f9323,9c6d8c9d4c25e9a9e96f8c305cde01fb257d4df332b9186c063d12de3e1dd3bb,,f69c4abf9ae9fe3818287b017b06c93a19933cbf0e6e8d657f306bd6eee46c30,133f42f75b2b64f7d73f4a6a5a92561a5d9a917c964eebd430183b5f7c436dbd,,,,,4,5,0,0,113635,1
37bd0201fe0a4e42a9d81aefd822293212b949d98a3e5b72089473b47310cf55,013000110abd8997,369565354,llNGSRllAce,81c9f10de2f39d42f97b206c5804c32495e3f3e751d20529e1ac3c8aeb0a4939,82ef440c285247789c576cd0f7dfc9b047bff7606baf3ab7dbf14a0d0865a62a,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,0,0,0,0,4,3,0,0,107619,1
37bd0201fe0a4e42a9d81aefd822293212b949d98a3e5b72089473b47310cf55,013000110abd8997,1678420853,쌉탕,ff9500e97de303feb631169db317e67614d528dccad7a2103665a840ad4ea23e,c8d29082c25ca4e06c568d592ec77eb5b4b9403cef96eddf21a7cdb8500ccf84,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,5,4,0,0,111738,1
44cddc0e408d2c9e53458e300bfaca38b9c88c9fc835525c6a49cb9397fe0af7,029d00110abd59bd,1107847966,박문약례,81c9f10de2f39d42f97b206c5804c32495e3f3e751d20529e1ac3c8aeb0a4939,c8d29082c25ca4e06c568d592ec77eb5b4b9403cef96eddf21a7cdb8500ccf84,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,4,2,0,0,118962,2
44cddc0e408d2c9e53458e300bfaca38b9c88c9fc835525c6a49cb9397fe0af7,029d00110abd59bd,1107796152,w불멸의연카w,42c729e64e31aea803e4881432f7b95129ce97535c29e4f9a72919a9f267b418,30711352d5c6279e96a5f449e613c5f9f04889f1c3ca6049e600d2b867821af7,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,5,1,0,1,118527,1
defe560d53c3def551cc91a61443ac19709c0e58d102c1167c54a3f304422c6b,002100130abb3670,302685021,myroom민트,95de437771bb1e094b4f3ef1c1a81574093a01e8d3be037c5a9fe0834dfbffa0,9c6d8c9d4c25e9a9e96f8c305cde01fb257d4df332b9186c063d12de3e1dd3bb,,7b34fb3da1d2b564672a2ae3938c7ad011f2743e18f0887aa473fa8f9d41c901,d064fb1098287bc1ddf83798b94585ee317dcd90275b10e5411bdc2906e569fd,,,,,4,4,0,1,97078,2
defe560d53c3def551cc91a61443ac19709c0e58d102c1167c54a3f304422c6b,002100130abb3670,268733489,땡지화,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,f55a0aaf315a03115b23206b15256733b4c9f175dc08040c5bcd8b3aaa8058c1,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,4,1,0,1,93328,2
defe560d53c3def551cc91a61443ac19709c0e58d102c1167c54a3f304422c6b,002100130abb3670,1224999736,서방o,48357251a360710371aa5c9f0952ea10ab454feae1d53fcd147980068b33181b,30711352d5c6279e96a5f449e613c5f9f04889f1c3ca6049e600d2b867821af7,,f69c4abf9ae9fe3818287b017b06c93a19933cbf0e6e8d657f306bd6eee46c30,db00206a829ee2952d0547c57091627c38727dc96a2bb0bd9782d075624b299d,,,,,0,3,0,0,94150,1
defe560d53c3def551cc91a61443ac19709c0e58d102c1167c54a3f304422c6b,002100130abb3670,805983064,T0ssBank,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,9002ba333110adec61a9defea77318127595851df0c7ef3824bb62e398c9dabc,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,4,2,0,0,93437,1
0b809bd33246fac5d3b39ba8d2e274999647174e43ec4645865d4dc349b08290,00bb00110abd4ea1,419620393,르망도쿄딸배,81c9f10de2f39d42f97b206c5804c32495e3f3e751d20529e1ac3c8aeb0a4939,9c6d8c9d4c25e9a9e96f8c305cde01fb257d4df332b9186c063d12de3e1dd3bb,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,4,1,0,1,142505,2
0b809bd33246fac5d3b39ba8d2e274999647174e43ec4645865d4dc349b08290,00bb00110abd4ea1,386117547,슬픈한상현,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,30711352d5c6279e96a5f449e613c5f9f04889f1c3ca6049e600d2b867821af7,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,4,2,0,0,142626,1
929803c3549892072d76bea9fbe5811424146ac8a5ba3ffd91741c50ff06a9a8,036f00130abb18e5,1057316215,lnlk,48357251a360710371aa5c9f0952ea10ab454feae1d53fcd147980068b33181b,e091361f3b01bac4f0f02076327be683f7d6dd9c3fb03ef095cc940144ce5757,,b5e59da7e51a056fca10406d710af9898b1f29e4182036c10848396908403f23,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,0,5,0,1,88623,2
929803c3549892072d76bea9fbe5811424146ac8a5ba3ffd91741c50ff06a9a8,036f00130abb18e5,1242235607,CUPRA,42c729e64e31aea803e4881432f7b95129ce97535c29e4f9a72919a9f267b418,826f4a85b74f291472189c317c70155e754875675f30821e74f5124c8dc2bd62,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,1,0,1,1,4,1,0,1,86073,2
