trackId,accountNo,characterName,character,kart,license,pet,flyingPet,partsEngine,partsHandle,partsWheel,partsKit,rankinggrade2,matchRank,matchRetired,matchWin,matchTime,matchId
caf2382bb9c0cf432379d97e5658cd0f1f7ad0008bac0a0bceb6986209143b36,84663026,영로빈,9db1d0be9ebee32909451e30d6a0dd83fef43f96872ff6495895b902c5fc79ce,c8d29082c25ca4e06c568d592ec77eb5b4b9403cef96eddf21a7cdb8500ccf84,,7b34fb3da1d2b564672a2ae3938c7ad011f2743e18f0887aa473fa8f9d41c901,d064fb1098287bc1ddf83798b94585ee317dcd90275b10e5411bdc2906e569fd,,,,,5,1,0,1,56839,00b6000d0aebc4db
0e324e952312814d287d63fa6f6bdee65fca748fbae2acdfad95e6f4dbded102,218775514,doyourslef,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,f55a0aaf315a03115b23206b15256733b4c9f175dc08040c5bcd8b3aaa8058c1,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,3,4,0,0,90558,036d000b0aee0759
0e324e952312814d287d63fa6f6bdee65fca748fbae2acdfad95e6f4dbded102,1494084221,하얀꼬비,6d978dc4959b20c60da1caa33701f628f728a9d8297175c2272a4db91ff7d5ba,18bc562d2abb76f1a7692912a02a582ecd75b657fadd84d1c97d03046220b9a7,,bfc06ff658a4364bbe69cdc27f6bfa8b40348d9546b6d2489546381d51d3cc37,fefd8d691ee41d818f26afadb9759c2308b88b5ab8ae0fb35ec9759fb2546e38,0,0,0,0,3,99,1,0,,036d000b0aee0759
0e324e952312814d287d63fa6f6bdee65fca748fbae2acdfad95e6f4dbded102,1409683161,ReStar넝눈,a6d90f9fc4e59a429af4d128b4ad1715ec6860e25c66e600ce0d910faecec786,751a4dd7b0e66ba60c3feb72191980bfed2eac7068930521c59171a514fff837,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,3,2,0,0,89097,036d000b0aee0759
0e324e952312814d287d63fa6f6bdee65fca748fbae2acdfad95e6f4dbded102,1275077169,원주2457,48322ea7be9cb6ff63d2cedcc92a1dfb4e773bbcd2fa388a9d6e4776f05babcf,b27b390860de228a4d56969377bb1c3f5ae31001c5c74ef866f3861bac3ee50a,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,3,99,1,0,,036d000b0aee0759
0e324e952312814d287d63fa6f6bdee65fca748fbae2acdfad95e6f4dbded102,487262378,바이스3483,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,eb333073a3486846660dc9e82e6b0c55c508c31853e4f4151d36f4b7fe17fe33,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,4,3,0,0,90404,036d000b0aee0759
0e324e952312814d287d63fa6f6bdee65fca748fbae2acdfad95e6f4dbded102,419578359,맦쥬,42c729e64e31aea803e4881432f7b95129ce97535c29e4f9a72919a9f267b418,f45265f477666269a0255682bb1435e5a704c25fa96cd60656e030abd394a589,,f69c4abf9ae9fe3818287b017b06c93a19933cbf0e6e8d657f306bd6eee46c30,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,4,1,0,1,87354,036d000b0aee0759
0e324e952312814d287d63fa6f6bdee65fca748fbae2acdfad95e6f4dbded102,151240858,태권진우다오,42c729e64e31aea803e4881432f7b95129ce97535c29e4f9a72919a9f267b418,f45265f477666269a0255682bb1435e5a704c25fa96cd60656e030abd394a589,,b5e59da7e51a056fca10406d710af9898b1f29e4182036c10848396908403f23,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,3,99,1,0,,036d000b0aee0759
1aac63e559f6f5890c9e90e2f8ffb2691e45aafbc5d148523405be3292b9785c,1778552365,터잡기,9db1d0be9ebee32909451e30d6a0dd83fef43f96872ff6495895b902c5fc79ce,c8d29082c25ca4e06c568d592ec77eb5b4b9403cef96eddf21a7cdb8500ccf84,,7b34fb3da1d2b564672a2ae3938c7ad011f2743e18f0887aa473fa8f9d41c901,d064fb1098287bc1ddf83798b94585ee317dcd90275b10e5411bdc2906e569fd,,,,,4,1,0,1,115449,02eb000d0aea9cd6
21581b3c79c6dc8cff34d169593115a642c3f5c066f57d8db2a6b1b89ecaefab,638396826,리쿠오v,95de437771bb1e094b4f3ef1c1a81574093a01e8d3be037c5a9fe0834dfbffa0,121b935d13a4d8145906140ac6a75093c2dd583098e17dddbe664bfb38c6cb09,,d5f191c6a691dc5fffa238811595dfbf5760b980112724bc92d159c04c64e26c,44338a00eafb0d85851fa471384b28c5c6683ec5e61637ebe33eb2949ccb09cd,1,1,22,2,2,99,1,1,,024f00010aee501a
21581b3c79c6dc8cff34d169593115a642c3f5c066f57d8db2a6b1b89ecaefab,1510822395,타마키v,95de437771bb1e094b4f3ef1c1a81574093a01e8d3be037c5a9fe0834dfbffa0,121b935d13a4d8145906140ac6a75093c2dd583098e17dddbe664bfb38c6cb09,,d5f191c6a691dc5fffa238811595dfbf5760b980112724bc92d159c04c64e26c,d064fb1098287bc1ddf83798b94585ee317dcd90275b10e5411bdc2906e569fd,1,1,23,2,2,99,1,1,,024f00010aee501a
